city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Zaria,11.1113,7.7227,79.48,61,99,8.79,NG,2022-04-21 05:54:26
68,Havre-Saint-Pierre,50.2334,-63.5986,35.6,55,0,19.57,CA,2022-04-21 05:54:26
69,Upernavik,72.7868,-56.1549,-6.3,71,64,9.01,GL,2022-04-21 05:54:27
70,Bubaque,11.2833,-15.8333,75.56,71,61,11.14,GW,2022-04-21 05:54:27
71,Freeport,40.6576,-73.5832,50.16,67,53,3.0,US,2022-04-21 05:54:27
72,Klaksvik,62.2266,-6.589,45.52,91,20,13.49,FO,2022-04-21 05:54:28
73,Jiuquan,39.7432,98.5174,63.93,11,100,5.95,CN,2022-04-21 05:54:28
74,Meulaboh,4.1363,96.1285,85.42,62,98,4.23,ID,2022-04-21 05:54:29
75,Qaanaaq,77.484,-69.3632,-11.36,87,94,7.94,GL,2022-04-21 05:54:29
76,Corsicana,32.0954,-96.4689,74.16,81,75,20.71,US,2022-04-21 05:54:29
77,Lompoc,34.6391,-120.4579,54.32,83,100,8.01,US,2022-04-21 05:54:30
78,Asau,46.4333,26.4,38.32,65,93,4.97,RO,2022-04-21 05:54:30
79,Banda Aceh,5.5577,95.3222,86.23,66,96,2.51,ID,2022-04-21 05:54:31
80,Jinan,36.6683,116.9972,84.06,25,18,21.7,CN,2022-04-21 05:54:31
81,Cairns,-16.9167,145.7667,79.11,93,40,3.44,AU,2022-04-21 05:53:56
82,Faanui,-16.4833,-151.75,81.28,71,16,7.54,PF,2022-04-21 05:54:31
83,Carutapera,-1.195,-46.02,75.85,94,83,4.59,BR,2022-04-21 05:54:32
84,Bud,39.447,-86.1758,55.42,83,100,21.05,US,2022-04-21 05:54:32
85,Khash,28.2211,61.2158,78.57,8,56,3.42,IR,2022-04-21 05:54:33
86,Chittaurgarh,24.8833,74.6333,97.72,16,96,11.18,IN,2022-04-21 05:54:33
87,Ngunguru,-35.6167,174.5,67.15,92,22,10.98,NZ,2022-04-21 05:54:34
88,Guacui,-20.7756,-41.6794,62.38,94,54,2.51,BR,2022-04-21 05:54:34
89,Saint-Philippe,-21.3585,55.7679,82.22,83,58,7.74,RE,2022-04-21 05:54:34
90,Baruun-Urt,46.6806,113.2792,43.11,20,91,11.81,MN,2022-04-21 05:54:35
91,Jacareacanga,-6.2222,-57.7528,71.92,100,90,0.74,BR,2022-04-21 05:51:37
92,Aborlan,9.4352,118.5492,91.47,71,76,5.53,PH,2022-04-21 05:54:40
93,Thompson,55.7435,-97.8558,24.96,54,40,9.22,CA,2022-04-21 05:52:23
94,Marawi,7.9986,124.2928,77.38,85,96,5.28,PH,2022-04-21 05:54:41
