City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,Serpa,37.9458,-7.5975,51.76,95,58,6.29,PT,2022-04-28 01:38:58
215,Zyryanka,65.75,150.85,23.47,81,100,12.88,RU,2022-04-28 01:38:58
216,Sibolga,1.7427,98.7792,81.48,85,100,1.36,ID,2022-04-28 01:38:59
217,Half Moon Bay,37.4636,-122.4286,61.48,69,0,24.16,US,2022-04-28 01:38:59
218,Lompoc,34.6391,-120.4579,63.57,72,20,19.57,US,2022-04-28 01:39:00
219,Emba,48.8264,58.1442,56.86,55,100,9.46,KZ,2022-04-28 01:39:00
220,San Quintin,30.4833,-115.95,60.03,77,0,11.9,MX,2022-04-28 01:39:00
221,Pandan,14.0453,124.1694,83.48,80,99,11.34,PH,2022-04-28 01:39:01
222,Changli,39.7042,119.1506,48.06,82,100,4.92,CN,2022-04-28 01:39:01
223,Zeya,53.75,127.2667,47.75,22,17,7.61,RU,2022-04-28 01:39:02
224,Tumaco,1.7986,-78.8156,77.74,88,97,4.7,CO,2022-04-28 01:39:02
225,Cap Malheureux,-19.9842,57.6142,73.47,85,3,1.01,MU,2022-04-28 01:39:03
226,Masuda,34.6667,131.85,61.07,67,40,5.75,JP,2022-04-28 01:39:03
227,Sitka,57.0531,-135.33,48.09,61,100,5.75,US,2022-04-28 01:39:04
228,Sant Feliu De Guixols,41.7833,3.0333,53.92,82,100,4.92,ES,2022-04-28 01:39:05
229,Santa Maria,-29.6842,-53.8069,69.1,88,75,6.91,BR,2022-04-28 01:39:06
230,Camapua,-19.5314,-54.0439,73.11,66,24,2.28,BR,2022-04-28 01:39:06
231,Coihaique,-45.5752,-72.0662,30.81,93,20,0.0,CL,2022-04-28 01:34:55
232,Bairiki,1.3292,172.9752,86.0,74,20,10.36,KI,2022-04-28 01:39:07
233,Pacific Grove,36.6177,-121.9166,62.55,72,40,12.66,US,2022-04-28 01:39:08
234,Wajid,3.8093,43.2471,73.54,89,54,9.66,SO,2022-04-28 01:39:08
235,Hirara,24.8,125.2833,84.06,78,40,13.8,JP,2022-04-28 01:39:09
236,San Luis,-33.295,-66.3356,52.32,39,0,1.45,AR,2022-04-28 01:39:09
237,Neiafu,-18.65,-173.9833,83.08,65,75,16.11,TO,2022-04-28 01:39:10
238,Ca Mau,9.1769,105.15,89.17,57,100,5.46,VN,2022-04-28 01:39:05
239,Homer,59.6425,-151.5483,53.76,58,0,11.5,US,2022-04-28 01:39:10
240,Tasiilaq,65.6145,-37.6368,32.16,85,81,6.33,GL,2022-04-28 01:39:11
241,Baijiantan,45.6333,85.1833,63.16,24,0,14.58,CN,2022-04-28 01:39:11
242,Formosa,-26.1775,-58.1781,84.18,70,0,14.97,AR,2022-04-28 01:39:11
243,Lagoa,39.05,-27.9833,62.44,94,100,32.19,PT,2022-04-28 01:39:12
244,Maldonado,-34.6667,-54.9167,51.22,87,0,2.39,UY,2022-04-28 01:39:12
245,Isangel,-19.55,169.2667,78.73,76,100,15.57,VU,2022-04-28 01:39:13
246,Guanica,17.9716,-66.908,75.11,92,21,5.86,PR,2022-04-28 01:39:14
247,Gusinoye Ozero,51.1144,106.2614,40.8,35,99,16.58,RU,2022-04-28 01:39:14
248,Toktogul,41.8708,72.9402,54.61,48,0,2.59,KG,2022-04-28 01:39:15
249,Otavalo,0.2333,-78.2667,55.62,94,33,2.35,EC,2022-04-28 01:39:15
250,Salmas,38.1973,44.7653,52.59,67,26,2.42,IR,2022-04-28 01:39:16
251,Roald,62.5833,6.1333,42.33,70,100,11.5,NO,2022-04-28 01:39:16
252,Sao Joao Da Barra,-21.6403,-41.0511,75.54,86,0,11.43,BR,2022-04-28 01:39:16
253,Cockburn Town,21.4612,-71.1419,75.31,61,4,15.88,TC,2022-04-28 01:39:17
254,Coolum Beach,-26.5333,153.1,76.1,90,52,1.01,AU,2022-04-28 01:39:17
255,Ormara,25.2088,64.6357,82.67,79,5,11.1,PK,2022-04-28 01:39:18
256,Dingle,10.9995,122.6711,84.38,74,100,11.32,PH,2022-04-28 01:38:54
257,Kahului,20.8947,-156.47,82.42,64,40,21.85,US,2022-04-28 01:39:19
258,Aitape,-3.1374,142.3475,87.22,63,89,5.23,PG,2022-04-28 01:39:19
259,Namibe,-15.1961,12.1522,72.66,74,39,3.22,AO,2022-04-28 01:39:20
260,Shelburne,44.0787,-80.2041,30.76,71,100,9.86,CA,2022-04-28 01:39:20
261,Henties Bay,-22.116,14.2845,62.78,73,8,3.24,NA,2022-04-28 01:39:21
262,Cartagena,10.3997,-75.5144,82.02,83,20,8.05,CO,2022-04-28 01:39:21
263,Kadnikov,59.5022,40.338,23.68,84,12,3.71,RU,2022-04-28 01:39:22
264,Griffith,41.5284,-87.4237,36.05,79,100,13.8,US,2022-04-28 01:39:22
265,Clyde River,70.4692,-68.5914,-0.17,71,0,4.61,CA,2022-04-28 01:39:23
266,Tilichiki,60.4667,166.1,33.31,100,100,9.57,RU,2022-04-28 01:39:23
267,Kilindoni,-7.9139,39.6668,80.22,80,100,18.88,TZ,2022-04-28 01:39:23
268,Yarada,17.65,83.2667,84.52,84,20,5.75,IN,2022-04-28 01:39:24
269,Camacha,33.0833,-16.3333,58.42,72,20,6.91,PT,2022-04-28 01:39:24
270,Gamba,-2.65,10.0,74.48,91,91,5.1,GA,2022-04-28 01:39:25
271,Laguna,38.421,-121.4238,73.38,36,0,13.8,US,2022-04-28 01:38:45
272,Solok,-0.7918,100.6593,72.55,73,98,2.13,ID,2022-04-28 01:39:25
273,Pringsewu,-5.3582,104.9744,72.45,96,100,6.73,ID,2022-04-28 01:39:26
274,Chake Chake,-5.2459,39.7666,75.97,89,100,6.78,TZ,2022-04-28 01:39:26
275,Guarapari,-20.6667,-40.4975,75.88,88,2,5.93,BR,2022-04-28 01:39:27
276,Taiyuan,37.8694,112.5603,48.06,66,40,2.24,CN,2022-04-28 01:37:08
277,Erenhot,43.6475,111.9767,48.29,20,79,9.17,CN,2022-04-28 01:39:27
278,Maceio,-9.6658,-35.7353,74.64,88,75,2.3,BR,2022-04-28 01:39:28
279,Kharan,28.5833,65.4167,81.48,21,52,3.94,PK,2022-04-28 01:39:28
280,Konstantinovka,49.6167,127.9833,47.89,32,0,10.89,RU,2022-04-28 01:39:28
281,Vangaindrano,-23.35,47.6,69.17,69,0,13.62,MG,2022-04-28 01:39:29
282,Kizukuri,40.8061,140.3861,58.95,51,13,11.39,JP,2022-04-28 01:39:29
283,Hambantota,6.1241,81.1185,83.23,76,13,5.01,LK,2022-04-28 01:39:30
284,Capaci,38.1711,13.2393,62.65,49,20,3.44,IT,2022-04-28 01:39:30
285,Nanakuli,21.3906,-158.1547,82.35,59,75,11.5,US,2022-04-28 01:39:30
286,Matara,5.9485,80.5353,81.75,80,35,1.5,LK,2022-04-28 01:39:31
287,Nazareno,25.3833,-103.4167,86.31,29,0,11.18,MX,2022-04-28 01:39:31
288,Ust-Koksa,50.2696,85.6108,42.76,65,7,1.05,RU,2022-04-28 01:39:32
289,Olinda,-8.0089,-34.8553,82.13,74,40,9.22,BR,2022-04-28 01:35:43
290,Tadine,-21.55,167.8833,76.3,72,100,18.68,NC,2022-04-28 01:39:32
291,Iqaluit,63.7506,-68.5145,13.73,72,100,21.85,CA,2022-04-28 01:39:33
292,Traverse City,44.7631,-85.6206,33.91,66,1,5.77,US,2022-04-28 01:36:18
293,Martapura,-3.4167,114.85,86.09,70,39,0.0,ID,2022-04-28 01:39:33
294,Lufilufi,-13.8745,-171.5986,87.58,74,28,17.54,WS,2022-04-28 01:39:34
295,Kemin,42.7846,75.6892,52.86,57,0,7.18,KG,2022-04-28 01:39:34
296,Kavaratti,10.5669,72.642,84.76,75,80,4.32,IN,2022-04-28 01:39:34
